,id,text,clean_tweet,created_at,source,retweets,replies,likes,quote_count,sentiment
0,1575183145959407623,"#BachelorInParadise fans are super horny for ""Zaddy"" Michael Allio: https://t.co/VrG0tLkFip https://t.co/N0gqbSRfnE",BachelorInParadise fans are super horny for Zaddy Michael Allio,2022-09-28 17:58:22+00:00,SocialFlow,0,0,2,0,Negative
1,1575183115525718017,Who is Lace? #BachelorInParadise,Who is Lace BachelorInParadise,2022-09-28 17:58:14+00:00,Twitter for iPhone,0,0,0,0,Neutral
2,1575182565127774208,Girls after 2 hours on the beach- “I just don’t feel like anyone is paying attention to me. I need action.” Boys clueless &amp; don’t know what to do so they just start making out with said girl. #BachelorInParadise https://t.co/566O9RNbzW,Girls after 2 hours on the beach I just don t feel like anyone is paying attention to me I need action Boys clueless amp don t know what to do so they just start making out with said girl BachelorInParadise,2022-09-28 17:56:03+00:00,Twitter for iPhone,0,0,3,0,Negative
3,1575182161597980672,Yeah Kira acting like that was not what I expected #bip #BachelorInParadise,Yeah Kira acting like that was not what I expected bip BachelorInParadise,2022-09-28 17:54:27+00:00,Twitter for iPhone,0,0,1,0,Negative
4,1575182072846512129,Romeo comes off either super freaking weird or the worst game in the world. And Jill reminds me of Tammy. They are both ridiculously annoying. #BachelorInParadise,Romeo comes off either super freaking weird or the worst game in the world And Jill reminds me of Tammy They are both ridiculously annoying BachelorInParadise,2022-09-28 17:54:06+00:00,Twitter for iPhone,0,1,1,0,Negative
5,1575181499040604160,I hope Andrew and Mike find love on #BachelorInParadise  🥺,I hope Andrew and Mike find love on BachelorInParadise,2022-09-28 17:51:49+00:00,Twitter for iPhone,0,0,0,0,Positive
6,1575181252335849472,"#BachelorInParadise is it just me, or I'm getting some Gay vibes from a couple of guys? https://t.co/D5xpx2tvkN",BachelorInParadise is it just me or I m getting some Gay vibes from a couple of guys,2022-09-28 17:50:50+00:00,Twitter for Android,0,2,3,0,Neutral
7,1575180812936368128,"Bachelor in Paradise Season 7 couple Abigail Heringer and Noah Erb show off their cool sense of style for a concert outing
#BachelorInParadise 
https://t.co/6al0ofANi3",Bachelor in Paradise Season 7 couple Abigail Heringer and Noah Erb show off their cool sense of style for a concert outing BachelorInParadise,2022-09-28 17:49:05+00:00,Twitter Web App,0,0,0,0,Positive
8,1575180717574656002,Watching Brandon and Serene meet each other for the first time is so frigging cute. They're like kids blushing in school again. They are adorable together. Hope they work out to the end. #BachelorInParadise,Watching Brandon and Serene meet each other for the first time is so frigging cute They re like kids blushing in school again They are adorable together Hope they work out to the end BachelorInParadise,2022-09-28 17:48:43+00:00,Twitter for Android,0,1,1,0,Positive
9,1575180114689949696,"I’m loving the fourth wall breaks. Yes.
More. #BachelorInParadise",I m loving the fourth wall breaks Yes More BachelorInParadise,2022-09-28 17:46:19+00:00,Twitter for iPhone,0,0,0,0,Positive
