,id,text,clean_tweet,created_at,source,retweets,replies,likes,quote_count
0,1580256742767702016,Jared and Ashley are the kids who graduated high school and still hang out in the parking lot. Get off my screen! #BachelorInParadise,Jared and Ashley are the kids who graduated high school and still hang out in the parking lot Get off my screen BachelorInParadise,2022-10-12 17:59:01+00:00,Twitter Web App,0,0,2,0
1,1580256509401141248,???? kira came back for jacob and ends up leaving with ROMEO? after she spilled her feelings to a different man??? what was with that long ass pause??? omfg 😭😂😂 #BachelorInParadise,kira came back for jacob and ends up leaving with ROMEO after she spilled her feelings to a different man what was with that long ass pause omfg BachelorInParadise,2022-10-12 17:58:06+00:00,Twitter for iPhone,0,0,8,0
2,1580256046831968256,Salley is the most annoying person in bachelor history aside from Genevieve. #BachelorInParadise,Salley is the most annoying person in bachelor history aside from Genevieve BachelorInParadise,2022-10-12 17:56:15+00:00,Twitter for iPhone,0,0,1,0
3,1580255868100431872,Pete continues to not impress lmao #BachelorInParadise,Pete continues to not impress lmao BachelorInParadise,2022-10-12 17:55:33+00:00,Twitter for iPhone,0,0,0,0
4,1580255723757658112,I didn’t know  Jacob was single handedly saving the economy with his breathing #BachelorInParadise,I didn t know Jacob was single handedly saving the economy with his breathing BachelorInParadise,2022-10-12 17:54:58+00:00,Twitter for iPhone,0,0,0,0
5,1580255713242542080,I like Kira 🤣 #BachelorInParadise https://t.co/32yJECWzNI,I like Kira BachelorInParadise,2022-10-12 17:54:56+00:00,Twitter for iPhone,0,0,0,0
6,1580255433780264961,how wild would it be if Michelle showed up on #BachelorInParadise where like most of the guys are from her season. it would absolute chaos. 😭,how wild would it be if Michelle showed up on BachelorInParadise where like most of the guys are from her season it would absolute chaos,2022-10-12 17:53:49+00:00,Twitter for iPhone,0,1,1,0
7,1580254958326546432,James is messy #BachelorInParadise,James is messy BachelorInParadise,2022-10-12 17:51:56+00:00,Twitter for iPhone,0,0,0,0
8,1580254631208554497,Didn’t know this man’s breathing exercises were singlehandedly saving the economy #BachelorInParadise https://t.co/VCVBz1a66t,Didn t know this man s breathing exercises were singlehandedly saving the economy BachelorInParadise,2022-10-12 17:50:38+00:00,Twitter for iPhone,1,2,4,0
9,1580254475612061696,thinking about how Ashley and Jared kept saying going to #BachelorInParadise is their much needed alone time 🤣🤣 https://t.co/WIjFqJlE6U,thinking about how Ashley and Jared kept saying going to BachelorInParadise is their much needed alone time,2022-10-12 17:50:01+00:00,Twitter Web App,0,0,1,0
10,1580254416774770688,Salley ATE Shanae and Genevieve up!! Left them speechless #BachelorInParadise,Salley ATE Shanae and Genevieve up Left them speechless BachelorInParadise,2022-10-12 17:49:47+00:00,Twitter for iPhone,0,0,0,0
11,1580254243730382848,Pilot Pete getting the poll results #BachelorNation #BachelorInParadise https://t.co/mEOgT8Q8jz https://t.co/taeFZL2Cmo,Pilot Pete getting the poll results BachelorNation BachelorInParadise,2022-10-12 17:49:06+00:00,Twitter for iPhone,0,0,0,0
12,1580254105255100416,Poor Brittany. Yikesss #BIP #BachelorInParadise https://t.co/FzWySBzOji,Poor Brittany Yikesss BIP BachelorInParadise,2022-10-12 17:48:33+00:00,Twitter for iPhone,0,0,3,0
13,1580253935478091776,Kira was literally pouring her heart out to Jacob saying he felt like home to her and now she’s making out with Romeo. Messy messy #BachelorInParadise,Kira was literally pouring her heart out to Jacob saying he felt like home to her and now she s making out with Romeo Messy messy BachelorInParadise,2022-10-12 17:47:52+00:00,Twitter for iPhone,1,1,95,0
14,1580253921192595457,@BachParadise was Ashley was full of farts because of all the screen time she and Jared ate up #BachelorInParadise,was Ashley was full of farts because of all the screen time she and Jared ate up BachelorInParadise,2022-10-12 17:47:49+00:00,Twitter for iPhone,0,0,0,0
15,1580253837340086272,#BachelorInParadise Is one of the shows I love watching .. I love these new episodes ! 😍❤️,BachelorInParadise Is one of the shows I love watching I love these new episodes,2022-10-12 17:47:29+00:00,Twitter for Android,0,0,0,0
16,1580253807539195904,"I have a bone to pick with Jacob. I, too, “do a lot of breathing everyday” yet this has had no impact on inflation. #BachelorInParadise #bachelorinparadiseabc https://t.co/LIz7DXSJjr",I have a bone to pick with Jacob I too do a lot of breathing everyday yet this has had no impact on inflation BachelorInParadise bachelorinparadiseabc,2022-10-12 17:47:22+00:00,Twitter for iPhone,0,0,2,0
17,1580253738920738821,Last Night's Episode: #BachelorInParadise https://t.co/RwVPqNACR1,Last Night s Episode BachelorInParadise,2022-10-12 17:47:05+00:00,Twitter for Android,0,0,0,0
18,1580253651599503360,"So Salley didn't want her ex-fiance to be talked about, but the producers and Wells were talking about it before she even got on the beach? I would be pissed too #BachelorInParadise",So Salley didn t want her ex fiance to be talked about but the producers and Wells were talking about it before she even got on the beach I would be pissed too BachelorInParadise,2022-10-12 17:46:44+00:00,Twitter Web App,0,0,6,0
19,1580253523203481600,Wells with the stupid little suitcase...this show has jumped the shark #BachelorinParadise,Wells with the stupid little suitcase this show has jumped the shark BachelorinParadise,2022-10-12 17:46:14+00:00,Twitter Web App,0,0,1,0
20,1580253420757299200,#BachelorInParadise Loving it !!,BachelorInParadise Loving it,2022-10-12 17:45:49+00:00,Twitter for Android,0,0,0,0
21,1580253327799246848,Salley shut those girls downnnnnn 🤭 #BachelorInParadise,Salley shut those girls downnnnnn BachelorInParadise,2022-10-12 17:45:27+00:00,Twitter for iPhone,0,0,0,0
22,1580253307330695169,Sierra has got to be one of the most beautiful women in the bachelor series #BachelorInParadise,Sierra has got to be one of the most beautiful women in the bachelor series BachelorInParadise,2022-10-12 17:45:22+00:00,Twitter for Android,0,0,0,0
23,1580252921241165824,"I need the Twitter sleuths to unpack Cassidy’s story immediately

#BachelorInParadise #BIP https://t.co/fCf5dapAQy",I need the Twitter sleuths to unpack Cassidy s story immediately BachelorInParadise BIP,2022-10-12 17:43:50+00:00,Twitter for iPhone,47,29,1155,12
24,1580252852018028547,Literally forgot Brittany was even here... #BachelorInParadise https://t.co/9dhK001Qd8,Literally forgot Brittany was even here BachelorInParadise,2022-10-12 17:43:34+00:00,Twitter for Android,0,0,0,0
25,1580252546928869377,Genivieve getting salty about sally and justin is so embarrassing like child you already have a man calm down #BachelorInParadise,Genivieve getting salty about sally and justin is so embarrassing like child you already have a man calm down BachelorInParadise,2022-10-12 17:42:21+00:00,Twitter for Android,0,0,12,0
26,1580252520563150848,Why is #BachelorInParadise so damn depressing this season? C’mon!!!,Why is BachelorInParadise so damn depressing this season C mon,2022-10-12 17:42:15+00:00,Twitter for iPhone,0,0,0,0
27,1580252360269770752,"Genevieve, Shanae, and James are mean girls. #BachelorInParadise",Genevieve Shanae and James are mean girls BachelorInParadise,2022-10-12 17:41:37+00:00,Twitter Web App,0,1,9,0
28,1580252334348648448,"honestly feel like Aaron and Genevieve make more sense than Justin and Genevieve 

#BachelorInParadise #BIP",honestly feel like Aaron and Genevieve make more sense than Justin and Genevieve BachelorInParadise BIP,2022-10-12 17:41:30+00:00,Twitter for iPhone,0,2,9,0
29,1580252320444534784,"Genevieve is a BULLY!! To both men and women. 🤦‍♀️ Not the villain I was expecting. 
But I’m also sure it’s the producers &amp; editors job to antagonize or create these stories...🤦‍♀️ #BachelorInParadise",Genevieve is a BULLY To both men and women Not the villain I was expecting But I m also sure it s the producers amp editors job to antagonize or create these stories BachelorInParadise,2022-10-12 17:41:27+00:00,Twitter for iPhone,0,0,1,0
30,1580252256556896257,Romeo is blackout drunk and is going to wakeup and be like wha I left? #BachelorInParadise,Romeo is blackout drunk and is going to wakeup and be like wha I left BachelorInParadise,2022-10-12 17:41:12+00:00,Twitter for iPhone,0,0,4,0
31,1580252145890140160,Pizza Pete?! Really at the bottom of the barrel now #BachelorinParadise,Pizza Pete Really at the bottom of the barrel now BachelorinParadise,2022-10-12 17:40:45+00:00,Twitter for Android,0,0,4,0
32,1580251737830539264,These girls are insane! Talking to someone for 24 hours doesn’t make them your man #BachelorInParadise,These girls are insane Talking to someone for 24 hours doesn t make them your man BachelorInParadise,2022-10-12 17:39:08+00:00,Twitter for iPhone,0,0,5,0
33,1580251353926230016,Pizza Pete and BRITTANY?!? She’s too pretty. Too normal for him  #BachelorInParadise,Pizza Pete and BRITTANY She s too pretty Too normal for him BachelorInParadise,2022-10-12 17:37:37+00:00,Twitter for iPhone,0,0,1,0
34,1580251308014989312,OMGGGG. How flipping beautiful was that birthday surprise!?!? What a way to make serene feel like the queen she is!! #BachelorInParadise,OMGGGG How flipping beautiful was that birthday surprise What a way to make serene feel like the queen she is BachelorInParadise,2022-10-12 17:37:26+00:00,Twitter for iPhone,1,0,8,0
35,1580251080558280705,This is possibly an unpopular opinion but I don’t think it was wrong for anyone to ask Salley why she was there on a dating show.She left episode 1 of Bach to go back to her ex. Missed 3 flights for BIP bc of her ex. The asking wasn’t wrong. The delivery was.  #BachelorInParadise,This is possibly an unpopular opinion but I don t think it was wrong for anyone to ask Salley why she was there on a dating show She left episode 1 of Bach to go back to her ex Missed 3 flights for BIP bc of her ex The asking wasn t wrong The delivery was BachelorInParadise,2022-10-12 17:36:31+00:00,Twitter for iPhone,4,2,63,0
