,Unnamed: 0,id,text,clean_tweet,created_at,source,retweets,replies,likes,quote_count,sentiment
0,0,1587504741273190402,Victoria picked Johnny?? Bffr. Is she serious? #BachelorInParadise,Victoria picked Johnny Bffr Is she serious BachelorInParadise,2022-11-01 17:59:59+00:00,Twitter for iPhone,0,1,3,0,Negative
1,1,1587504430009782273,Lace at home watching Eliza say yes to Justin #bachelorinparadise https://t.co/t5Fq11uBDh,Lace at home watching Eliza say yes to Justin bachelorinparadise,2022-11-01 17:58:45+00:00,Twitter for iPhone,0,0,3,0,Neutral
2,2,1587503708321062912,Rodney is speaking in codes and told Eliza to explore. Tell your woman to stay and fight for her #BachelorInParadise,Rodney is speaking in codes and told Eliza to explore Tell your woman to stay and fight for her BachelorInParadise,2022-11-01 17:55:53+00:00,Twitter for iPhone,0,0,0,0,Neutral
3,3,1587503537285742593,Brittnay is so gorgeous!! Like God took His time to make her!! 😭#BachelorInParadise,Brittnay is so gorgeous Like God took His time to make her BachelorInParadise,2022-11-01 17:55:12+00:00,Twitter for iPhone,0,0,0,0,Positive
4,4,1587503491328655361,"I can’t believe Aaron hasn’t found anyone yet. Attentive, sensitive, and fire! Genevieve didn’t understand anything he said tonight!! #BachelorNation #bachelorinparadiseabc #bachelorinparadise",I can t believe Aaron hasn t found anyone yet Attentive sensitive and fire Genevieve didn t understand anything he said tonight BachelorNation bachelorinparadiseabc bachelorinparadise,2022-11-01 17:55:01+00:00,Twitter for iPhone,0,1,1,0,Negative
5,5,1587503473163214851,Rodney fucked up. You don’t tell Eliza to go on another date when you’re feeling her #BachelorInParadise,Rodney fucked up You don t tell Eliza to go on another date when you re feeling her BachelorInParadise,2022-11-01 17:54:57+00:00,Twitter for iPhone,0,0,0,0,Negative
6,6,1587503181365379073,Genevieve in the corner to Rodney about Justin “his personality sucks“ btch you were obsessed with him after 24 hours!  YOUR personality sucks not his #BachelorInParadise,Genevieve in the corner to Rodney about Justin his personality sucks btch you were obsessed with him after 24 hours YOUR personality sucks not his BachelorInParadise,2022-11-01 17:53:47+00:00,Twitter for iPhone,1,1,7,0,Negative
7,7,1587503169017462785,Is there an open bar on paradise? #BachelorInParadise,Is there an open bar on paradise BachelorInParadise,2022-11-01 17:53:44+00:00,Twitter for iPhone,0,0,1,0,Neutral
8,8,1587503144338161668,Me seeing Rodney get his rose from Elisa #BachelorInParadise https://t.co/ouJrzNqdmu,Me seeing Rodney get his rose from Elisa BachelorInParadise,2022-11-01 17:53:38+00:00,Twitter for iPhone,0,1,0,0,Neutral
9,9,1587503053564944385,Eliza is deserving of all the attention on paradise #BachelorInParadise,Eliza is deserving of all the attention on paradise BachelorInParadise,2022-11-01 17:53:17+00:00,Twitter for iPhone,0,0,0,0,Positive
10,10,1587501328804319232,Genevieve is her own worst enemy #BachelorInParadise,Genevieve is her own worst enemy BachelorInParadise,2022-11-01 17:46:25+00:00,Twitter for iPhone,0,0,2,0,Negative
11,11,1587500550861398017,"In conclusion, Gabby and Erich are no longer together. #TheBachelorette #BachelorInParadise https://t.co/AS8mb2IP2n",In conclusion Gabby and Erich are no longer together TheBachelorette BachelorInParadise,2022-11-01 17:43:20+00:00,Twitter for iPhone,1,0,4,0,Neutral
12,12,1587500459274555393,The way @Aaronrclancy said Johnny’s heart is bigger than Alex’s. He is the definition of loyal. #BachelorInParadise,The way said Johnny s heart is bigger than Alex s He is the definition of loyal BachelorInParadise,2022-11-01 17:42:58+00:00,Twitter for iPhone,0,0,4,0,Positive
13,13,1587500336734154752,I honesty forgot that Daniel and Michael are still there lmao #BachelorInParadise,I honesty forgot that Daniel and Michael are still there lmao BachelorInParadise,2022-11-01 17:42:29+00:00,Twitter for iPhone,0,1,1,0,Neutral
14,14,1587499709052194816,Eliza looked TOO fuckin happy that Justin walked down to the beach again. she easily forgot about Rodney in that moment. lmao #bachelorinparadise,Eliza looked TOO fuckin happy that Justin walked down to the beach again she easily forgot about Rodney in that moment lmao bachelorinparadise,2022-11-01 17:39:59+00:00,Twitter for iPhone,0,0,0,0,Positive
15,15,1587499517833887747,BIIIIIIIHHHHHH hahahahhaa the Australian girl picking Alex I’m DEAD #bachelorinparadise,BIIIIIIIHHHHHH hahahahhaa the Australian girl picking Alex I m DEAD bachelorinparadise,2022-11-01 17:39:14+00:00,Twitter for iPhone,0,0,3,0,Negative
16,16,1587499382974418947,"Okay so if anyone asks, I’ve continued to watch #bachelorinparadise for relationship educational purposes 👏🏻 (for real, the amount I’ve learned about communication skills is insane)",Okay so if anyone asks I ve continued to watch bachelorinparadise for relationship educational purposes for real the amount I ve learned about communication skills is insane,2022-11-01 17:38:41+00:00,Twitter for iPhone,0,0,2,0,Positive
17,17,1587499363634479105,ADAM WENT HOME??? WHYYYYYY HE WAS SO CUTE 😭 #BachelorInParadise,ADAM WENT HOME WHYYYYYY HE WAS SO CUTE BachelorInParadise,2022-11-01 17:38:37+00:00,Twitter for iPhone,0,0,2,0,Positive
18,18,1587499250765676544,"This was the worst possible way to say “Erich and I broke up”
🥲

#bachelorinparadise 

 https://t.co/cM9Gf06ii0",This was the worst possible way to say Erich and I broke up bachelorinparadise,2022-11-01 17:38:10+00:00,Twitter for iPhone,114,69,3059,48,Negative
19,19,1587499158986018817,No amount of good moments from Shanae would make me like her. So don’t even try #BachelorInParadise https://t.co/YSNEM1QxgE,No amount of good moments from Shanae would make me like her So don t even try BachelorInParadise,2022-11-01 17:37:48+00:00,Twitter for iPhone,0,2,0,0,Negative
20,20,1587498967536787461,#BachelorInParadise Eliza made me so mad. Girl you don’t deserve him at all.,BachelorInParadise Eliza made me so mad Girl you don t deserve him at all,2022-11-01 17:37:02+00:00,Twitter for iPhone,0,0,1,0,Negative
21,21,1587498804978536448,@BachelorIsCool Selective hearing at its best #bachelorinparadiseabc #BachelorInParadise,Selective hearing at its best bachelorinparadiseabc BachelorInParadise,2022-11-01 17:36:24+00:00,Twitter for iPhone,0,0,6,0,Neutral
22,22,1587498219944103937,"Genevieve and Eliza don’t deserve Aaron and Rodney. There, I said it. #bachelorinparadiseabc #BachelorInParadise https://t.co/4f1kgMrpmm",Genevieve and Eliza don t deserve Aaron and Rodney There I said it bachelorinparadiseabc BachelorInParadise,2022-11-01 17:34:04+00:00,Twitter for iPhone,0,1,5,0,Negative
23,23,1587497754582040580,Does Wells get days off? #BachelorInParadise,Does Wells get days off BachelorInParadise,2022-11-01 17:32:13+00:00,Twitter for iPhone,0,0,2,0,Neutral
