,id,text,clean_tweet,created_at,source,retweets,replies,likes,quote_count
0,1592578004697632768,"Grow your Instagram account with targeted audiences!
https://t.co/ut8Ud9i7N3
#BachelorInParadise #stlblues #tuesdayvibe #NationalPhilanthropyDay #AmericaRecyclesDay #DarrellBrooks #DarrellBrooksTrial #GivingTuesday #FTXScandal #smartcities  #GRAMMYs #TSTheErasTour",Grow your Instagram account with targeted audiences BachelorInParadise stlblues tuesdayvibe NationalPhilanthropyDay AmericaRecyclesDay DarrellBrooks DarrellBrooksTrial GivingTuesday FTXScandal smartcities GRAMMYs TSTheErasTour,2022-11-15 17:59:19+00:00,Twitter Web App,0,1,0,0
1,1592577036648075264,Am I the only one sitting here thinking how bad of an actor Justin is? That reaction was weird… #BachelorInParadise 🦀,Am I the only one sitting here thinking how bad of an actor Justin is That reaction was weird BachelorInParadise,2022-11-15 17:55:28+00:00,Twitter for iPhone,0,0,4,0
2,1592577017958268929,"You would think by her 3rd season on BIP, Flo would get the game by now #BachelorInParadise",You would think by her 3rd season on BIP Flo would get the game by now BachelorInParadise,2022-11-15 17:55:24+00:00,Twitter for iPhone,0,0,0,0
3,1592576893873975296,"Kate: I know what I want and what I deserve. Then, talks about the poor guy. #BachelorInParadise",Kate I know what I want and what I deserve Then talks about the poor guy BachelorInParadise,2022-11-15 17:54:54+00:00,Twitter for iPhone,0,0,3,0
4,1592576439672770561,One word: Eliza 🤦🏽‍♀️#bachelorinparadise,One word Eliza bachelorinparadise,2022-11-15 17:53:06+00:00,Twitter for iPhone,0,0,1,0
5,1592576330931277825,Kate just wants to be chosen. She doesn’t want that man. #BachelorInParadise,Kate just wants to be chosen She doesn t want that man BachelorInParadise,2022-11-15 17:52:40+00:00,Twitter for iPhone,0,0,2,0
6,1592575969109635072,Kate: I’m a different person now. Literally the same person. 😂😂😂 #BachelorInParadise and proceeds to call him a child.,Kate I m a different person now Literally the same person BachelorInParadise and proceeds to call him a child,2022-11-15 17:51:14+00:00,Twitter for iPhone,0,0,4,0
7,1592575628888383490,"#BachelorInParadise  @BachParadise recap: Justin rejects Eliza's reconciliation, Andrew dumps Jessenia, Logan stands up for himself with Kate https://t.co/YoQU8UY6Ql",BachelorInParadise recap Justin rejects Eliza s reconciliation Andrew dumps Jessenia Logan stands up for himself with Kate,2022-11-15 17:49:53+00:00,IFTTT,0,0,0,0
8,1592575145843265536,Everytime Kate opens her mouth I miss the old Shanae. Like please tell her off for America. You are our voice!  #BachelorInParadise #bachelorinparadiseabc https://t.co/GpjPbQgM9n,Everytime Kate opens her mouth I miss the old Shanae Like please tell her off for America You are our voice BachelorInParadise bachelorinparadiseabc,2022-11-15 17:47:58+00:00,Twitter for iPhone,0,0,19,0
9,1592575047855919105,"Literally Logan when he saw Rachel n Gabby🤭🤭
#bachelorinparadise https://t.co/uKh8BI8mFk",Literally Logan when he saw Rachel n Gabby bachelorinparadise,2022-11-15 17:47:34+00:00,Twitter for Android,0,0,1,0
10,1592574630581383168,"Justin never wanted Eliza, he wanted to stay in paradise.  #bachelorinparadise",Justin never wanted Eliza he wanted to stay in paradise bachelorinparadise,2022-11-15 17:45:55+00:00,Twitter for iPhone,1,0,11,0
11,1592573582739378176,Not Justin liking this tweet 👀 #BachelorInParadise,Not Justin liking this tweet BachelorInParadise,2022-11-15 17:41:45+00:00,Twitter for iPhone,0,0,5,0
12,1592573493995896832,"I think Andrew was triggered by Eliza, Rodney and Justin fiasco. I completely understand why he was triggered and sad. He came on the beach for Teddy and was so hopeful and when Teddy left pretty much he’s been coasting. 

#bachelorinparadiseabc  #BachelorInParadise",I think Andrew was triggered by Eliza Rodney and Justin fiasco I completely understand why he was triggered and sad He came on the beach for Teddy and was so hopeful and when Teddy left pretty much he s been coasting bachelorinparadiseabc BachelorInParadise,2022-11-15 17:41:24+00:00,Twitter for iPhone,0,1,17,0
13,1592572625871831040,Damn I feel bad for Logan having to watch back all these digs from Kate 😬 #BachelorInParadise,Damn I feel bad for Logan having to watch back all these digs from Kate BachelorInParadise,2022-11-15 17:37:57+00:00,Twitter for iPhone,0,0,5,0
14,1592572596331380736,"I’m tagging ALL of u, because I liked u all at the beginning of the season but I’m starting to get annoyed with the double standards @Bmac_Jones @SereneBRussell @Justin_Glaze @rcmathews26 @andrewzspencer @lilgalvin #bachelorinparadise https://t.co/zItA9sX0PH",I m tagging ALL of u because I liked u all at the beginning of the season but I m starting to get annoyed with the double standards Jones Glaze bachelorinparadise,2022-11-15 17:37:50+00:00,Twitter for iPhone,0,0,2,1
15,1592572505671184385,No because Logan was 1000% correct that Kate looks down on him #BachelorInParadise,No because Logan was 1000 correct that Kate looks down on him BachelorInParadise,2022-11-15 17:37:28+00:00,Twitter for iPhone,0,0,6,0
16,1592572441305714688,"We’ve got some ideas for our next #RealityTV show fantasy games, but we want to hear from you! 

#BachelorInParadise #DWTS #DragRaceUK #AmericanIdol #TheVoice #TopChef https://t.co/gsTN8vppaD",We ve got some ideas for our next RealityTV show fantasy games but we want to hear from you BachelorInParadise DWTS DragRaceUK AmericanIdol TheVoice TopChef,2022-11-15 17:37:13+00:00,Twitter for iPhone,2,0,3,0
17,1592571895966486530,I’m actually excited for the episode tonight bc it looks cute #BachelorInParadise,I m actually excited for the episode tonight bc it looks cute BachelorInParadise,2022-11-15 17:35:03+00:00,Twitter for iPhone,0,0,0,0
18,1592570851396063238,"Aw man, I hate it when I come down with screwed-over-two-women-to-go-be-a-hot-commodity-on-a-secluded-beach-in-Mexico disease. Symptoms include delusion, inability to keep mouth shut, and crabs 🦀 

#BIP #BachelorInParadise #BachelorInParadiseABC https://t.co/6vDIKv6161",Aw man I hate it when I come down with screwed over two women to go be a hot commodity on a secluded beach in Mexico disease Symptoms include delusion inability to keep mouth shut and crabs BIP BachelorInParadise BachelorInParadiseABC,2022-11-15 17:30:54+00:00,Twitter for iPhone,0,0,5,0
19,1592570360003809280,Justin has always been a SHINY OBJECT! Never liked Eliza a bit! #BachelorInParadise,Justin has always been a SHINY OBJECT Never liked Eliza a bit BachelorInParadise,2022-11-15 17:28:57+00:00,Twitter for Android,0,0,2,0
20,1592570142625759234,"Even though Eliza did what she did to Rodney, you just know he is going to feel bad for how her going to Justin went when normal humans would be lowkey happy #bachelorinparadise",Even though Eliza did what she did to Rodney you just know he is going to feel bad for how her going to Justin went when normal humans would be lowkey happy bachelorinparadise,2022-11-15 17:28:05+00:00,Twitter for iPhone,0,0,1,0
21,1592569237432070147,"Kate is the worst 😒 Logan should have gone on that date, she is talking down to him and is rude (especially in her interviews which he hasn't even seen yet) no way they work out long term.  #bachelorinparadise",Kate is the worst Logan should have gone on that date she is talking down to him and is rude especially in her interviews which he hasn t even seen yet no way they work out long term bachelorinparadise,2022-11-15 17:24:29+00:00,Twitter for Android,0,0,3,0
22,1592569054518444032,Justin really annoyed me with this situation. How do you take eliza putting in effort to come see you and turn it around on her??? I don’t think he really liked her.   #BachelorinParadise,Justin really annoyed me with this situation How do you take eliza putting in effort to come see you and turn it around on her I don t think he really liked her BachelorinParadise,2022-11-15 17:23:45+00:00,Twitter for iPhone,0,2,6,0
23,1592568730143580160,"#BachelorInParadise can we please stop calling 30-year-old women ""cougars"" 😭😭😭",BachelorInParadise can we please stop calling 30 year old women cougars,2022-11-15 17:22:28+00:00,Twitter Web App,0,0,3,0
24,1592568634484068352,This is the grossest cringiest worst “love triangle” of the season #BachelorInParadise,This is the grossest cringiest worst love triangle of the season BachelorInParadise,2022-11-15 17:22:05+00:00,Twitter for iPhone,0,0,0,0
25,1592568565349371906,"how dare kate call logan's car an orange honda, its clearly a nissan 👇#bachelorinparadise https://t.co/TWy2JdRvFx",how dare kate call logan s car an orange honda its clearly a nissan bachelorinparadise,2022-11-15 17:21:49+00:00,Twitter Web App,0,0,3,0
26,1592568546173026304,@NICKIMINAJ Watching #BachelorInParadise bc I missed it last night forgot it was Monday 🤦🏼‍♀️ wyd,Watching BachelorInParadise bc I missed it last night forgot it was Monday wyd,2022-11-15 17:21:44+00:00,Twitter for iPhone,0,0,1,0
27,1592567600302948352,"Gooooddd on Justin for turning Eliza down. I’m surprised she didn’t have a fit in front of him, but not surprised she acted all entitled when stepping outside saying “I flew here for you 🙄”#BachelorInParadise",Gooooddd on Justin for turning Eliza down I m surprised she didn t have a fit in front of him but not surprised she acted all entitled when stepping outside saying I flew here for you BachelorInParadise,2022-11-15 17:17:59+00:00,Twitter for iPhone,0,1,6,0
28,1592567484409856006,Johnny asking Victoria how her dad is. We don’t even know 😂 still waiting to meet Peter probably #BachelorInParadise,Johnny asking Victoria how her dad is We don t even know still waiting to meet Peter probably BachelorInParadise,2022-11-15 17:17:31+00:00,Twitter for iPhone,0,0,2,0
29,1592567477585997824,“I’ve known him 3 whole days” hahahahaha yup that’s paradise for you #BachelorInParadise,I ve known him 3 whole days hahahahaha yup that s paradise for you BachelorInParadise,2022-11-15 17:17:29+00:00,Twitter for iPhone,0,0,2,0
30,1592566927620468736,You can tell Eliza isn’t denied by men. She really thought she was going to go to Justin and he was going to be so happy and waiting for her 😂 #BachelorInParadise,You can tell Eliza isn t denied by men She really thought she was going to go to Justin and he was going to be so happy and waiting for her BachelorInParadise,2022-11-15 17:15:18+00:00,Twitter for iPhone,0,0,7,0
31,1592566781973270528,Logan…leave it alone  #Bachelorinparadise,Logan leave it alone Bachelorinparadise,2022-11-15 17:14:43+00:00,Twitter for iPhone,0,0,0,0
32,1592566670803234816,"Exactly, you flew across the country and dumped a man that loved you for a guy that you knew for 3 days 😂😂 #BachelorInParadise",Exactly you flew across the country and dumped a man that loved you for a guy that you knew for 3 days BachelorInParadise,2022-11-15 17:14:17+00:00,Twitter for iPhone,0,1,2,0
33,1592566562057203712,Victoria sure does love that green swim coverup! Like ya girl it’s cute but did you pack anything else? #BachelorInParadise,Victoria sure does love that green swim coverup Like ya girl it s cute but did you pack anything else BachelorInParadise,2022-11-15 17:13:51+00:00,Twitter for iPhone,0,0,0,0
34,1592566535243313152,If you showed this interview with no prior context i swear i would’ve thought Rodney plummeted off the Mexico cliffs to his death..not got sent home ☠️ #bachelorinparadiseabc #BachelorInParadise https://t.co/WLlyzZmT2R,If you showed this interview with no prior context i swear i would ve thought Rodney plummeted off the Mexico cliffs to his death not got sent home bachelorinparadiseabc BachelorInParadise,2022-11-15 17:13:45+00:00,Twitter for iPhone,6,2,162,0
35,1592566408688197632,I loveee that Justin isn’t just like “omg yes I’ve been waiting for you” that’s Eliza’s karma #BachelorInParadise,I loveee that Justin isn t just like omg yes I ve been waiting for you that s Eliza s karma BachelorInParadise,2022-11-15 17:13:14+00:00,Twitter for iPhone,0,0,4,0
36,1592566266992422912,I know Rodney’s a nice guy but y’all are showing more emotion towards him than y’all are for y’all personal relationships #BachelorInParadise,I know Rodney s a nice guy but y all are showing more emotion towards him than y all are for y all personal relationships BachelorInParadise,2022-11-15 17:12:41+00:00,Twitter for iPhone,0,0,1,0
37,1592566066047496195,Logan’s “put ‘em all in a jar &amp; shake it uuuuup” has me rollingggg 🤣 #BachelorInParadise,Logan s put em all in a jar amp shake it uuuuup has me rollingggg BachelorInParadise,2022-11-15 17:11:53+00:00,Twitter for iPhone,0,1,8,0
38,1592565844940591104,I’m finding it really ironic that Kate described Shanae as manipulative and hyper-critical when she has literally been acting that way the entire time in paradise and towards Logan. #BachelorInParadise,I m finding it really ironic that Kate described Shanae as manipulative and hyper critical when she has literally been acting that way the entire time in paradise and towards Logan BachelorInParadise,2022-11-15 17:11:00+00:00,Twitter for iPhone,0,0,9,0
39,1592565708671528960,Why are these women fawning over these BOYS who look like they are 12?! It’s not a good look. #BachelorInParadise https://t.co/gUwp3rCiWu,Why are these women fawning over these BOYS who look like they are 12 It s not a good look BachelorInParadise,2022-11-15 17:10:28+00:00,Twitter for iPhone,0,0,3,0
40,1592565550542385153,"Monday TV Ratings 11/14/22: #MikePence Interview Mediocre, #NCIS and #BobHeartsAbishola Hit Series Lows After Breaks, #TheVoice, #AllAmerican and #TheCleaningLady Rise, #BachelorInParadise Down
https://t.co/4ZD1E3MyB1",Monday TV Ratings 11 14 22 MikePence Interview Mediocre NCIS and BobHeartsAbishola Hit Series Lows After Breaks TheVoice AllAmerican and TheCleaningLady Rise BachelorInParadise Down,2022-11-15 17:09:50+00:00,Twitter Web App,0,0,2,0
41,1592565379544809472,Kate criticizing Logan and calling Him broke and a child because he said she criticizes him and looks down on him? 🤔 #BachelorInParadise,Kate criticizing Logan and calling Him broke and a child because he said she criticizes him and looks down on him BachelorInParadise,2022-11-15 17:09:09+00:00,Twitter for iPhone,0,0,1,0
42,1592565233281032194,This is cringy to watch #fastforward #BachelorInParadise,This is cringy to watch fastforward BachelorInParadise,2022-11-15 17:08:34+00:00,Twitter for iPhone,0,0,0,0
43,1592564790870028288,Victoria is so naturally beautiful to me and my bff told me looks like a bratz doll #BachelorInParadise,Victoria is so naturally beautiful to me and my bff told me looks like a bratz doll BachelorInParadise,2022-11-15 17:06:49+00:00,Twitter for iPhone,0,0,0,0
44,1592564622556827649,Aaron and Gen are giving very “Ronnie and Sammie”  #BachelorInParadise #Jerseyshore,Aaron and Gen are giving very Ronnie and Sammie BachelorInParadise Jerseyshore,2022-11-15 17:06:09+00:00,Twitter for iPhone,0,0,0,0
45,1592564421968420868,"#Kate I need to know what Hondas have done to you lol.  These are very reliable cars and a great #investment! 
Logan keep that Honda!  
#BachelorInParadise 
#bachelorinparadiseabc https://t.co/HxCxfKU9pe",Kate I need to know what Hondas have done to you lol These are very reliable cars and a great investment Logan keep that Honda BachelorInParadise bachelorinparadiseabc,2022-11-15 17:05:21+00:00,Twitter for Android,0,0,2,0
46,1592564345988599809,I don’t feel like Justin ever really wanted Eliza tbh #BachelorInParadise #bachelorinparadiseabc,I don t feel like Justin ever really wanted Eliza tbh BachelorInParadise bachelorinparadiseabc,2022-11-15 17:05:03+00:00,Twitter for iPhone,0,0,36,0
47,1592564342289227776,"https://t.co/01hehTcFqQ Twitter Award winners for Episode 13 of #BachelorInParadise! 

Congrats!!🤩🥳 @TheBachBabes @ninabubblygum @APsomaras https://t.co/3XzhhEnGQW",Twitter Award winners for Episode 13 of BachelorInParadise Congrats,2022-11-15 17:05:02+00:00,Twitter for iPhone,0,0,5,0
48,1592564218703712256,Dang Eliza 😭 she tried to get Justin and he just shut her down so quick #BachelorInParadise,Dang Eliza she tried to get Justin and he just shut her down so quick BachelorInParadise,2022-11-15 17:04:32+00:00,Twitter for iPhone,0,1,4,0
49,1592564162634215426,They doing too much crying over Rodney bruh like please relax #BachelorInParadise,They doing too much crying over Rodney bruh like please relax BachelorInParadise,2022-11-15 17:04:19+00:00,Twitter for iPhone,0,1,2,0
50,1592563708496318465,"I’m sorry, Flo, who was giving who sass? Lol as if either of you are gonna marry that teenager?! Ok.. #BachelorInParadise",I m sorry Flo who was giving who sass Lol as if either of you are gonna marry that teenager Ok BachelorInParadise,2022-11-15 17:02:31+00:00,Twitter for iPhone,0,0,0,0
51,1592563523934384129,"#BachelorInParadise star Demi Burnett reacts to the recent episode of BIP and Eliza Isichei’s efforts with Justin Glaze
https://t.co/Cj0Hz1cJEO",BachelorInParadise star Demi Burnett reacts to the recent episode of BIP and Eliza Isichei s efforts with Justin Glaze,2022-11-15 17:01:47+00:00,Twitter Web App,0,0,0,0
52,1592563327435431936,I can't see Jesenia cry. It hurts. 😭💔 #BachelorInParadise #bachelorinparadiseabc #BIP,I can t see Jesenia cry It hurts BachelorInParadise bachelorinparadiseabc BIP,2022-11-15 17:01:00+00:00,Twitter for Android,0,0,0,0
53,1592563258288111617,"Can this blonde bully just let Logan live!!!🙄🙄🙄, I don't even care for Logan but damn girl 🚮🚮🚮,  #BachelorInParadise https://t.co/9wSGuz6KG2",Can this blonde bully just let Logan live I don t even care for Logan but damn girl BachelorInParadise,2022-11-15 17:00:43+00:00,Twitter for Android,1,0,5,0
54,1592562540810145792,"I like Rodney too, but ffs y’all act like he died 🤣 #BachelorInParadise https://t.co/hdppORdoJ3",I like Rodney too but ffs y all act like he died BachelorInParadise,2022-11-15 16:57:52+00:00,Twitter for iPhone,0,0,5,0
55,1592562394362187777,"I'll be back to live tweet #BachelorInParadise at 8 pm!
#cats #CatsOfTwitter https://t.co/hztPuqIE08",I ll be back to live tweet BachelorInParadise at 8 pm cats CatsOfTwitter,2022-11-15 16:57:17+00:00,Twitter Web App,2,0,4,0
56,1592562190942289920,"Unpopular opinion: You can tell Andrew is the type of person who is easily distracted by shiny new things. He seems great, but lacks the ability to fully commit 🤷🏽‍♀️ #BachelorInParadise #bip",Unpopular opinion You can tell Andrew is the type of person who is easily distracted by shiny new things He seems great but lacks the ability to fully commit BachelorInParadise bip,2022-11-15 16:56:29+00:00,Twitter for iPhone,1,1,17,0
57,1592562154871619585,WHAT is this trend of girls wearing their bikini top upside down!!?!? Wtf so weird #BachelorInParadise,WHAT is this trend of girls wearing their bikini top upside down Wtf so weird BachelorInParadise,2022-11-15 16:56:20+00:00,Twitter for iPhone,0,0,2,0
58,1592561904203206658,"I felt bad for Lyndsey. She should have stayed and tried connecting with other men. But I think it's really hard for people who come in super late on the show.

#BachelorInParadise #BachelorInParadise8 #BachelorInParadiseABC #BIP https://t.co/otfN8yOMfv",I felt bad for Lyndsey She should have stayed and tried connecting with other men But I think it s really hard for people who come in super late on the show BachelorInParadise BachelorInParadise8 BachelorInParadiseABC BIP,2022-11-15 16:55:20+00:00,Twitter for Android,0,1,4,0
59,1592561621280313344,"So America and #bachelornation are obsessed with Rodney but he’s still not #TheBachelor ? Please explain. Never has #BachelorInParadise cast ever gaf about a person leaving like this, guy must be genuine af. #bachelorinparadiseabc #JusticeforRodney #RodneyforBachelor",So America and bachelornation are obsessed with Rodney but he s still not TheBachelor Please explain Never has BachelorInParadise cast ever gaf about a person leaving like this guy must be genuine af bachelorinparadiseabc JusticeforRodney RodneyforBachelor,2022-11-15 16:54:13+00:00,Twitter for iPhone,0,0,3,0
60,1592561552234000385,I gagged.. and then fast forwarded. They HAVE to stop with these gross food dates.. does any one actually like watching that? I don't need y'all to turn the sound up on butter squishes from being rubbed on his body. 🤢 #BachelorInParadise https://t.co/V0ppTiXk0Z,I gagged and then fast forwarded They HAVE to stop with these gross food dates does any one actually like watching that I don t need y all to turn the sound up on butter squishes from being rubbed on his body BachelorInParadise,2022-11-15 16:53:57+00:00,Twitter for Android,1,0,2,0
61,1592560935612215296,I cannot stand Kate 🥴#BachelorInParadise,I cannot stand Kate BachelorInParadise,2022-11-15 16:51:30+00:00,Twitter for iPhone,0,0,6,0
62,1592560931426664448,When Mara shows up in paradise … crickets 😂 #BachelorInParadise,When Mara shows up in paradise crickets BachelorInParadise,2022-11-15 16:51:29+00:00,Twitter for iPhone,0,0,3,1
63,1592560329812496384,"Chilllllllle Justin chose himself 🤤...n low-key pulled the i know my worth card 🤭🤭🤭...., Sorry Eliza karma is a loyal cunt on this show... #BachelorInParadise https://t.co/lB6kEXL4Yg",Chilllllllle Justin chose himself n low key pulled the i know my worth card Sorry Eliza karma is a loyal cunt on this show BachelorInParadise,2022-11-15 16:49:05+00:00,Twitter for Android,0,0,2,0
64,1592560315711250433,"🌻 ✨This Cartoon Effect is amazing, I used the AirBrush app to make this edit.. before and after Kate Gallivan.🌻

#kategallivan #BachelorInParadise #bachelorinparadiseabc #airbrushapp https://t.co/OyhFzzApY1",This Cartoon Effect is amazing I used the AirBrush app to make this edit before and after Kate Gallivan kategallivan BachelorInParadise bachelorinparadiseabc airbrushapp,2022-11-15 16:49:02+00:00,Twitter for iPhone,0,0,0,0
65,1592560207627952129,Godddddd I hate Kate so much  #BachelorInParadise https://t.co/5t2jKUze5q,Godddddd I hate Kate so much BachelorInParadise,2022-11-15 16:48:36+00:00,Twitter for iPhone,0,1,5,0
66,1592560173570486272,"This Cartoon Effect is amazing, I used the AirBrush app to make this edit.. before and after Kate Gallivan.⭐️

#kategallivan #BachelorInParadise #bachelorinparadiseabc #airbrushapp https://t.co/YkvUWRySk1",This Cartoon Effect is amazing I used the AirBrush app to make this edit before and after Kate Gallivan kategallivan BachelorInParadise bachelorinparadiseabc airbrushapp,2022-11-15 16:48:28+00:00,Twitter for iPhone,0,0,0,0
67,1592559999259398144,"✨This Cartoon Effect is amazing, I used the AirBrush app to make this edit.. before and after Kate Gallivan ✨

#kategallivan #BachelorInParadise #bachelorinparadiseabc  #airbrushapp https://t.co/pfnAL8qgGX",This Cartoon Effect is amazing I used the AirBrush app to make this edit before and after Kate Gallivan kategallivan BachelorInParadise bachelorinparadiseabc airbrushapp,2022-11-15 16:47:46+00:00,Twitter for iPhone,0,0,0,0
68,1592559868224802816,I had such high hopes for Adam &amp; Gen &amp; now I’m like what in the hellllll #BachelorInParadise,I had such high hopes for Adam amp Gen amp now I m like what in the hellllll BachelorInParadise,2022-11-15 16:47:15+00:00,Twitter for iPhone,0,0,0,0
69,1592559368276676609,I hope Johnny &amp; Victoria are endgame. Paradise has 100% tore his walls down. Love that for him! Sometimes it just takes that one special person to allow you the comfort to be soft. 🧡 #BachelorInParadise,I hope Johnny amp Victoria are endgame Paradise has 100 tore his walls down Love that for him Sometimes it just takes that one special person to allow you the comfort to be soft BachelorInParadise,2022-11-15 16:45:16+00:00,Twitter for iPhone,0,1,3,0
